# OpenMATB scenario generator

# Name: incapacitation
# Date: 13/08/2024 15:01:25


# Block n� 1. 
0:00:00;track;start
0:00:00;track;automaticsolver;True
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;150
0:00:00;resman;tank-b-lossperminute;150
0:00:30;sysmon;scales-3-failure;True
0:00:25;sysmon;lights-2-failure;True
0:00:50;sysmon;lights-1-failure;True
0:00:45;sysmon;scales-1-failure;True
# bloc1 = 4 evenements sysmon

# Block n� 2. 
0:01:30;sysmon;lights-2-failure;True
0:01:08;sysmon;scales-1-failure;True
0:01:16;sysmon;scales-2-failure;True
0:01:45;sysmon;lights-1-failure;True
0:01:50;sysmon;scales-3-failure;True
0:01:20;communications;radioprompt;own
0:01:00;resman;tank-a-lossperminute;300 # augmentation graduelle de la vitesse d'écoulement du carburant pour atteindre celle employée par Lam et al., 2022 condition easy (500)
0:01:00;resman;tank-b-lossperminute;300
# bloc2 = 6 evenements (5 evenements sysmon, 1 evenement communications)

# Block n� 3. 
0:02:00;sysmon;lights-2-failure;True
0:02:15;sysmon;lights-2-failure;True
0:02:48;sysmon;scales-1-failure;True
0:02:22;sysmon;scales-3-failure;True
0:02:39;sysmon;lights-2-failure;True
0:02:04;communications;radioprompt;other
0:02:32;communications;radioprompt;own
0:02:00;resman;tank-a-lossperminute;500   # augmentation graduelle de la vitesse d'écoulement du carburant pour atteindre celle employée par Lam et al., 2022 condition easy (500)
0:02:00;resman;tank-b-lossperminute;500
# bloc3 = 7 evenements (5 evenements sysmon, 2 evenement communications)
# après 3 minutes = 17 evenements (14 evenements sysmon, 3 communications)

# Block n� 4.
0:03:19;sysmon;lights-2-failure;True
0:03:46;sysmon;lights-1-failure;True
0:03:18;sysmon;scales-3-failure;True
0:03:46;sysmon;scales-1-failure;True
0:03:54;sysmon;scales-4-failure;True
0:03:25;sysmon;lights-1-failure;True
0:03:05;sysmon;scales-2-failure;True
0:03:01;communications;radioprompt;other
0:03:32;communications;radioprompt;own
# bloc4 = 9 evenements (7 sysmon; 2 communications)
# total jusqu'ici = 26 evenement (21 sysmon, 5 communications)

# Block n� 5. 
0:04:21;sysmon;lights-1-failure;True
0:04:15;sysmon;lights-1-failure;True
0:04:33;sysmon;lights-2-failure;True
0:04:02;sysmon;lights-2-failure;True
0:04:50;sysmon;lights-2-failure;True
0:04:01;sysmon;scales-3-failure;True
0:04:35;sysmon;scales-3-failure;True
0:04:23;sysmon;scales-4-failure;True
0:04:34;sysmon;scales-4-failure;True
0:04:12;communications;radioprompt;other
0:04:35;communications;radioprompt;own
# bloc5 = 11 evenements (9 sysmon, 2 communications)
# total après 5 minutes = 30 evenements sysmon, 7 communications (4 own; 3 other)

################################

# Block n� 6.
#0:05:04;sysmon;lights-1-failure;True
#0:05:20;sysmon;lights-2-failure;True
#0:05:41;sysmon;lights-2-failure;True
#0:05:02;sysmon;scales-1-failure;True
#0:05:27;sysmon;scales-2-failure;True
#0:05:40;sysmon;scales-3-failure;True
#0:05:08;communications;radioprompt;own
#0:05:37;communications;radioprompt;other
#0:05:00;resman;tank-a-lossperminute;720
#0:05:00;resman;tank-b-lossperminute;720

# Block n� 7.
#0:06:07;sysmon;lights-2-failure;True
#0:06:26;sysmon;lights-1-failure;True
#0:06:40;sysmon;lights-2-failure;True
#0:06:08;sysmon;scales-4-failure;True
#0:06:28;sysmon;scales-3-failure;True
#0:06:48;sysmon;scales-1-failure;True
#0:06:02;communications;radioprompt;own
#0:06:24;communications;radioprompt;own
#0:06:44;communications;radioprompt;other
#0:06:00;resman;tank-a-lossperminute;840
#0:06:00;resman;tank-b-lossperminute;840

# Block n� 8. 
#0:07:02;sysmon;lights-1-failure;True
#0:07:18;sysmon;lights-2-failure;True
#0:07:32;sysmon;lights-2-failure;True
#0:07:47;sysmon;lights-1-failure;True
#0:07:04;sysmon;scales-1-failure;True
#0:07:16;sysmon;scales-3-failure;True
#0:07:33;sysmon;scales-4-failure;True
#0:07:44;sysmon;scales-2-failure;True
#0:07:02;communications;radioprompt;own
#0:07:22;communications;radioprompt;own
#0:07:46;communications;radioprompt;other
#0:07:00;resman;tank-a-lossperminute;960
#0:07:00;resman;tank-b-lossperminute;960

# Block n� 9. 
#0:08:02;sysmon;lights-2-failure;True
#0:08:14;sysmon;lights-2-failure;True
#0:08:25;sysmon;lights-1-failure;True
#0:08:49;sysmon;lights-1-failure;True
#0:08:08;sysmon;scales-3-failure;True
#0:08:23;sysmon;scales-4-failure;True
#0:08:35;sysmon;scales-2-failure;True
#0:08:48;sysmon;scales-1-failure;True
#0:08:04;communications;radioprompt;other
#0:08:24;communications;radioprompt;own
#0:08:44;communications;radioprompt;own
#0:08:00;resman;tank-a-lossperminute;1080
#0:08:00;resman;tank-b-lossperminute;1080

# Block n� 10. 
#0:09:01;sysmon;lights-1-failure;True
#0:09:13;sysmon;lights-1-failure;True
#0:09:24;sysmon;lights-1-failure;True
#0:09:36;sysmon;lights-2-failure;True
#0:09:48;sysmon;lights-2-failure;True
#0:09:01;sysmon;scales-4-failure;True
#0:09:13;sysmon;scales-1-failure;True
#0:09:25;sysmon;scales-3-failure;True
#0:09:36;sysmon;scales-2-failure;True
#0:09:49;sysmon;scales-4-failure;True
#0:09:01;communications;radioprompt;own
#0:09:15;communications;radioprompt;own
#0:09:30;communications;radioprompt;other
#0:09:45;communications;radioprompt;other
#0:09:00;resman;tank-a-lossperminute;1200
#0:09:00;resman;tank-b-lossperminute;1200

0:10:00;track;stop
0:10:00;resman;stop
0:10:00;communications;stop
0:10:00;sysmon;stop
