# OpenMATB scenario generator

# Name: new_scenario
# Date: 15/08/2024 12:35:29

## Lam et al. (2022) à partir de 5 min

# Block n� 1. 
0:00:00;track;start
0:00:00;track;automaticsolver;True
0:00:00;sysmon;start
0:00:04;sysmon;lights-1-failure;True
0:00:30;sysmon;lights-2-failure;True
0:00:03;sysmon;scales-3-failure;True
0:00:15;sysmon;scales-3-failure;True
0:00:00;communications;start
0:00:04;communications;radioprompt;own
0:00:32;communications;radioprompt;own
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;600
0:00:00;resman;tank-b-lossperminute;600

# Block n� 2. 
0:01:02;sysmon;lights-2-failure;True
0:01:43;sysmon;lights-1-failure;True
0:01:17;sysmon;scales-3-failure;True
0:01:43;sysmon;scales-2-failure;True
0:01:08;communications;radioprompt;other
0:01:32;communications;radioprompt;own
0:01:00;resman;tank-a-lossperminute;640
0:01:00;resman;tank-b-lossperminute;640

# Block n� 3. 
0:02:00;sysmon;lights-2-failure;True
0:02:25;sysmon;lights-2-failure;True
0:02:41;sysmon;lights-1-failure;True
0:02:02;sysmon;scales-1-failure;True
0:02:14;sysmon;scales-2-failure;True
0:02:28;sysmon;scales-3-failure;True
0:02:09;communications;radioprompt;own
0:02:34;communications;radioprompt;own
0:02:47;communications;radioprompt;other
0:02:00;resman;tank-a-lossperminute;680
0:02:00;resman;tank-b-lossperminute;680

# Block n� 4. 
0:03:09;sysmon;lights-1-failure;True
0:03:21;sysmon;lights-2-failure;True
0:03:42;sysmon;lights-2-failure;True
0:03:00;sysmon;scales-3-failure;True
0:03:17;sysmon;scales-1-failure;True
0:03:49;sysmon;scales-2-failure;True
0:03:14;communications;radioprompt;own
0:03:29;communications;radioprompt;own
0:03:43;communications;radioprompt;own
0:03:00;resman;tank-a-lossperminute;720
0:03:00;resman;tank-b-lossperminute;720

# Block n� 5. 
0:04:03;sysmon;lights-2-failure;True
0:04:20;sysmon;lights-1-failure;True
0:04:36;sysmon;lights-1-failure;True
0:04:05;sysmon;scales-3-failure;True
0:04:19;sysmon;scales-1-failure;True
0:04:40;sysmon;scales-2-failure;True
0:04:05;communications;radioprompt;own
0:04:30;communications;radioprompt;other
0:04:45;communications;radioprompt;own
0:04:00;resman;tank-a-lossperminute;760
0:04:00;resman;tank-b-lossperminute;760

## Lam et al.(2022) 5 min bloc, multitasking difficult
# Block n� 6. 
0:05:09;sysmon;lights-2-failure;True
0:05:25;sysmon;lights-2-failure;True
0:05:42;sysmon;lights-2-failure;True
0:05:49;sysmon;lights-1-failure;True
0:05:39;sysmon;lights-1-failure;True
0:05:19;sysmon;lights-1-failure;True
0:05:07;sysmon;scales-2-failure;True
0:05:17;sysmon;scales-2-failure;True
0:05:29;sysmon;scales-1-failure;True
0:05:51;sysmon;scales-1-failure;True
0:05:48;sysmon;scales-3-failure;True
0:05:07;communications;radioprompt;own
0:05:18;communications;radioprompt;other
0:05:43;communications;radioprompt;own
0:05:00;resman;tank-a-lossperminute;800
0:05:00;resman;tank-b-lossperminute;800

# Block n� 7. 
0:06:00;sysmon;lights-2-failure;True
0:06:06;sysmon;lights-1-failure;True
0:06:24;sysmon;lights-1-failure;True
0:06:36;sysmon;lights-1-failure;True
0:06:13;sysmon;lights-2-failure;True
0:06:09;sysmon;scales-1-failure;True
0:06:15;sysmon;scales-2-failure;True
0:06:23;sysmon;scales-4-failure;True
0:06:40;sysmon;scales-3-failure;True
0:06:45;sysmon;scales-4-failure;True
0:06:52;sysmon;scales-4-failure;True
0:06:05;communications;radioprompt;other
0:06:17;communications;radioprompt;own
0:06:43;communications;radioprompt;other
0:06:00;resman;tank-a-lossperminute;840
0:06:00;resman;tank-b-lossperminute;840

# Block n� 8. 
0:07:03;sysmon;lights-1-failure;True
0:07:15;sysmon;lights-2-failure;True
0:07:32;sysmon;lights-2-failure;True
0:07:47;sysmon;lights-1-failure;True
0:07:20;sysmon;lights-1-failure;True
0:07:01;sysmon;scales-2-failure;True
0:07:17;sysmon;scales-3-failure;True
0:07:31;sysmon;scales-4-failure;True
0:07:37;sysmon;scales-1-failure;True
0:07:47;sysmon;scales-1-failure;True
0:07:08;sysmon;scales-1-failure;True
0:07:02;communications;radioprompt;own
0:07:16;communications;radioprompt;other
0:07:31;communications;radioprompt;own
0:07:45;communications;radioprompt;other
0:07:00;resman;tank-a-lossperminute;1000
0:07:00;resman;tank-b-lossperminute;1000

# Block n� 9. 
0:08:00;sysmon;lights-1-failure;True
0:08:09;sysmon;lights-1-failure;True
0:08:18;sysmon;lights-2-failure;True
0:08:31;sysmon;lights-2-failure;True
0:08:44;sysmon;lights-1-failure;True
0:08:50;sysmon;scales-3-failure;True
0:08:00;sysmon;scales-2-failure;True
0:08:16;sysmon;scales-1-failure;True
0:08:30;sysmon;scales-3-failure;True
0:08:46;sysmon;scales-4-failure;True
0:08:55;sysmon;scales-4-failure;True
0:08:04;communications;radioprompt;own
0:08:15;communications;radioprompt;own
0:08:28;communications;radioprompt;own
0:08:43;communications;radioprompt;other
0:08:00;resman;tank-a-lossperminute;1000
0:08:00;resman;tank-b-lossperminute;1000

# Block n� 10.
0:09:05;sysmon;lights-2-failure;True
0:09:12;sysmon;lights-2-failure;True
0:09:17;sysmon;lights-1-failure;True
0:09:34;sysmon;lights-2-failure;True
0:09:47;sysmon;lights-1-failure;True
0:09:52;sysmon;lights-1-failure;True
0:09:02;sysmon;scales-1-failure;True
0:09:07;sysmon;scales-2-failure;True
0:09:15;sysmon;scales-3-failure;True
0:09:27;sysmon;scales-2-failure;True
0:09:48;sysmon;scales-4-failure;True
0:09:04;communications;radioprompt;other
0:09:16;communications;radioprompt;other
0:09:32;communications;radioprompt;own
0:09:47;communications;radioprompt;own
0:09:00;resman;tank-a-lossperminute;1000
0:09:00;resman;tank-b-lossperminute;1000
0:10:00;sysmon;stop
0:10:00;communications;stop
0:10:00;resman;stop
0:10:00;track;stop
