# OpenMATB scenario generator

# Name: new_scenario
# Date: 23/08/2024 23:16:04


# Block n° 1. Technical load = 50.0 %
0:00:00;track;start
0:00:00;track;targetproportion;0.5
0:00:00;sysmon;start
0:00:24;sysmon;lights-1-failure;True
0:00:45;sysmon;lights-2-failure;True
0:00:29;sysmon;scales-3-failure;True
0:00:43;sysmon;scales-1-failure;True
0:00:00;communications;start
0:00:03;communications;radioprompt;own
0:00:30;communications;radioprompt;own
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;600
0:00:00;resman;tank-b-lossperminute;600

# Block n° 2. Technical load = 53.3 %
0:01:00;track;targetproportion;0.4666666666666667
0:01:06;sysmon;lights-1-failure;True
0:01:32;sysmon;lights-2-failure;True
0:01:04;sysmon;scales-4-failure;True
0:01:32;sysmon;scales-1-failure;True
0:01:22;communications;radioprompt;own
0:01:45;communications;radioprompt;own
0:01:00;resman;tank-a-lossperminute;640
0:01:00;resman;tank-b-lossperminute;640

# Block n° 3. Technical load = 56.7 %
0:02:00;track;targetproportion;0.43333333333333335
0:02:01;sysmon;lights-2-failure;True
0:02:29;sysmon;lights-2-failure;True
0:02:45;sysmon;lights-1-failure;True
0:02:09;sysmon;scales-2-failure;True
0:02:20;sysmon;scales-3-failure;True
0:02:44;sysmon;scales-1-failure;True
0:02:07;communications;radioprompt;own
0:02:26;communications;radioprompt;own
0:02:43;communications;radioprompt;other
0:02:00;resman;tank-a-lossperminute;680
0:02:00;resman;tank-b-lossperminute;680

# Block n° 4. Technical load = 60.0 %
0:03:00;track;targetproportion;0.4
0:03:13;sysmon;lights-1-failure;True
0:03:29;sysmon;lights-2-failure;True
0:03:48;sysmon;lights-1-failure;True
0:03:04;sysmon;scales-1-failure;True
0:03:20;sysmon;scales-4-failure;True
0:03:41;sysmon;scales-3-failure;True
0:03:07;communications;radioprompt;own
0:03:19;communications;radioprompt;own
0:03:48;communications;radioprompt;other
0:03:00;resman;tank-a-lossperminute;720
0:03:00;resman;tank-b-lossperminute;720

# Block n° 5. Technical load = 63.3 %
0:04:00;track;targetproportion;0.3666666666666667
0:04:05;sysmon;lights-1-failure;True
0:04:33;sysmon;lights-2-failure;True
0:04:45;sysmon;lights-1-failure;True
0:04:01;sysmon;scales-3-failure;True
0:04:15;sysmon;scales-2-failure;True
0:04:30;sysmon;scales-4-failure;True
0:04:03;communications;radioprompt;other
0:04:16;communications;radioprompt;own
0:04:42;communications;radioprompt;other
0:04:00;resman;tank-a-lossperminute;760
0:04:00;resman;tank-b-lossperminute;760

# Block n° 6. Technical load = 66.7 %
0:05:00;track;targetproportion;0.33333333333333326
0:05:02;sysmon;lights-1-failure;True
0:05:15;sysmon;lights-2-failure;True
0:05:36;sysmon;lights-2-failure;True
0:05:04;sysmon;scales-3-failure;True
0:05:36;sysmon;scales-1-failure;True
0:05:49;sysmon;scales-2-failure;True
0:05:07;communications;radioprompt;other
0:05:20;communications;radioprompt;own
0:05:48;communications;radioprompt;own
0:05:00;resman;tank-a-lossperminute;800
0:05:00;resman;tank-b-lossperminute;800

# Block n° 7. Technical load = 70.0 %
0:06:00;track;targetproportion;0.29999999999999993
0:06:12;sysmon;lights-2-failure;True
0:06:28;sysmon;lights-1-failure;True
0:06:41;sysmon;lights-2-failure;True
0:06:12;sysmon;scales-4-failure;True
0:06:25;sysmon;scales-3-failure;True
0:06:44;sysmon;scales-2-failure;True
0:06:09;communications;radioprompt;own
0:06:24;communications;radioprompt;own
0:06:42;communications;radioprompt;other
0:06:00;resman;tank-a-lossperminute;840
0:06:00;resman;tank-b-lossperminute;840

# Block n° 8. Technical load = 73.3 %
0:07:00;track;targetproportion;0.2666666666666666
0:07:01;sysmon;lights-1-failure;True
0:07:12;sysmon;lights-2-failure;True
0:07:24;sysmon;lights-1-failure;True
0:07:43;sysmon;lights-2-failure;True
0:07:02;sysmon;scales-1-failure;True
0:07:14;sysmon;scales-3-failure;True
0:07:28;sysmon;scales-2-failure;True
0:07:43;sysmon;scales-4-failure;True
0:07:04;communications;radioprompt;other
0:07:24;communications;radioprompt;other
0:07:35;communications;radioprompt;own
0:07:48;communications;radioprompt;own
0:07:00;resman;tank-a-lossperminute;880
0:07:00;resman;tank-b-lossperminute;880

# Block n° 9. Technical load = 76.7 %
0:08:00;track;targetproportion;0.23333333333333328
0:08:00;sysmon;lights-1-failure;True
0:08:13;sysmon;lights-2-failure;True
0:08:30;sysmon;lights-1-failure;True
0:08:44;sysmon;lights-2-failure;True
0:08:04;sysmon;scales-3-failure;True
0:08:15;sysmon;scales-1-failure;True
0:08:31;sysmon;scales-2-failure;True
0:08:44;sysmon;scales-4-failure;True
0:08:03;communications;radioprompt;own
0:08:16;communications;radioprompt;other
0:08:29;communications;radioprompt;own
0:08:44;communications;radioprompt;own
0:08:00;resman;tank-a-lossperminute;920
0:08:00;resman;tank-b-lossperminute;920

# Block n° 10. Technical load = 80.0 %
0:09:00;track;targetproportion;0.19999999999999996
0:09:02;sysmon;lights-1-failure;True
0:09:14;sysmon;lights-2-failure;True
0:09:25;sysmon;lights-2-failure;True
0:09:43;sysmon;lights-1-failure;True
0:09:09;sysmon;scales-2-failure;True
0:09:23;sysmon;scales-3-failure;True
0:09:35;sysmon;scales-1-failure;True
0:09:46;sysmon;scales-4-failure;True
0:09:05;communications;radioprompt;own
0:09:21;communications;radioprompt;other
0:09:34;communications;radioprompt;other
0:09:49;communications;radioprompt;own
0:09:00;resman;tank-a-lossperminute;960
0:09:00;resman;tank-b-lossperminute;960
0:10:00;sysmon;stop
0:10:00;track;stop
0:10:00;resman;stop
0:10:00;communications;stop
